seq,title,year,doi,doi_link,google_scholar,openalex_search,unpaywall_api
133,"Multinationals, R&D, and productivity: evidence for UK manufacturing firms",2011,10.1093/icc/dtr007,https://doi.org/10.1093/icc/dtr007,https://scholar.google.com/scholar?q=Multinationals%2C%20R%26D%2C%20and%20productivity%3A%20evidence%20for%20UK%20manufacturing%20firms,https://openalex.org/works?search=Multinationals%2C%20R%26D%2C%20and%20productivity%3A%20evidence%20for%20UK%20manufacturing%20firms,https://api.unpaywall.org/v2/10.1093%2Ficc%2Fdtr007
160,"Female CEOs, SMEs performance and internationalization: empirical evidence from European peripheral and Nordic countries",2026,10.1108/mrr-12-2024-0924,https://doi.org/10.1108/mrr-12-2024-0924,https://scholar.google.com/scholar?q=Female%20CEOs%2C%20SMEs%20performance%20and%20internationalization%3A%20empirical%20evidence%20from%20European%20peripheral%20and%20Nordic%20countries,https://openalex.org/works?search=Female%20CEOs%2C%20SMEs%20performance%20and%20internationalization%3A%20empirical%20evidence%20from%20European%20peripheral%20and%20Nordic%20countries,https://api.unpaywall.org/v2/10.1108%2Fmrr-12-2024-0924
171,The effect of restructuring internationalized companies on performance: Evidence from European firms,2025,10.1111/emre.12672,https://doi.org/10.1111/emre.12672,https://scholar.google.com/scholar?q=The%20effect%20of%20restructuring%20internationalized%20companies%20on%20performance%3A%20Evidence%20from%20European%20firms,https://openalex.org/works?search=The%20effect%20of%20restructuring%20internationalized%20companies%20on%20performance%3A%20Evidence%20from%20European%20firms,https://api.unpaywall.org/v2/10.1111%2Femre.12672
178,The role of intellectual capital and women managers in the internationalization-performance relationship: An analysis of Spanish hotel firms,2025,10.1016/j.jbusres.2025.115378,https://doi.org/10.1016/j.jbusres.2025.115378,https://scholar.google.com/scholar?q=The%20role%20of%20intellectual%20capital%20and%20women%20managers%20in%20the%20internationalization-performance%20relationship%3A%20An%20analysis%20of%20Spanish%20hotel%20firms,https://openalex.org/works?search=The%20role%20of%20intellectual%20capital%20and%20women%20managers%20in%20the%20internationalization-performance%20relationship%3A%20An%20analysis%20of%20Spanish%20hotel%20firms,https://api.unpaywall.org/v2/10.1016%2Fj.jbusres.2025.115378
179,"Internationalization, innovation, and resilience: Financial performance of agricultural cooperatives in southeastern Spain's rural economy",2025,10.1016/j.jrurstud.2025.103682,https://doi.org/10.1016/j.jrurstud.2025.103682,https://scholar.google.com/scholar?q=Internationalization%2C%20innovation%2C%20and%20resilience%3A%20Financial%20performance%20of%20agricultural%20cooperatives%20in%20southeastern%20Spain%27s%20rural%20economy,https://openalex.org/works?search=Internationalization%2C%20innovation%2C%20and%20resilience%3A%20Financial%20performance%20of%20agricultural%20cooperatives%20in%20southeastern%20Spain%27s%20rural%20economy,https://api.unpaywall.org/v2/10.1016%2Fj.jrurstud.2025.103682
186,Comparative Study on the Impact of Ownership Concentration on Internationalization and Performance: Family versus Non-family Firms in Korea,2025,10.35611/jkt.2025.29.6.173,https://doi.org/10.35611/jkt.2025.29.6.173,https://scholar.google.com/scholar?q=Comparative%20Study%20on%20the%20Impact%20of%20Ownership%20Concentration%20on%20Internationalization%20and%20Performance%3A%20Family%20versus%20Non-family%20Firms%20in%20Korea,https://openalex.org/works?search=Comparative%20Study%20on%20the%20Impact%20of%20Ownership%20Concentration%20on%20Internationalization%20and%20Performance%3A%20Family%20versus%20Non-family%20Firms%20in%20Korea,https://api.unpaywall.org/v2/10.35611%2Fjkt.2025.29.6.173
187,The Joint Effects of Firm's Globalization and ESG Rating on Financial Performance: Evidence from Food Industry in Taiwan,2025,10.3390/su17062580,https://doi.org/10.3390/su17062580,https://scholar.google.com/scholar?q=The%20Joint%20Effects%20of%20Firm%27s%20Globalization%20and%20ESG%20Rating%20on%20Financial%20Performance%3A%20Evidence%20from%20Food%20Industry%20in%20Taiwan,https://openalex.org/works?search=The%20Joint%20Effects%20of%20Firm%27s%20Globalization%20and%20ESG%20Rating%20on%20Financial%20Performance%3A%20Evidence%20from%20Food%20Industry%20in%20Taiwan,https://api.unpaywall.org/v2/10.3390%2Fsu17062580
194,The Internationalization-Environmental Performance Relationship: Does it Differ between MNEs in Advanced and Less Advanced Economies?,2024,10.1002/bse.3797,https://doi.org/10.1002/bse.3797,https://scholar.google.com/scholar?q=The%20Internationalization-Environmental%20Performance%20Relationship%3A%20Does%20it%20Differ%20between%20MNEs%20in%20Advanced%20and%20Less%20Advanced%20Economies%3F,https://openalex.org/works?search=The%20Internationalization-Environmental%20Performance%20Relationship%3A%20Does%20it%20Differ%20between%20MNEs%20in%20Advanced%20and%20Less%20Advanced%20Economies%3F,https://api.unpaywall.org/v2/10.1002%2Fbse.3797
199,"When market leads innovation: The interplay of internationalisation, innovation and productivity among Swedish wood manufacturing SMEs",2024,10.1111/twec.13639,https://doi.org/10.1111/twec.13639,https://scholar.google.com/scholar?q=When%20market%20leads%20innovation%3A%20The%20interplay%20of%20internationalisation%2C%20innovation%20and%20productivity%20among%20Swedish%20wood%20manufacturing%20SMEs,https://openalex.org/works?search=When%20market%20leads%20innovation%3A%20The%20interplay%20of%20internationalisation%2C%20innovation%20and%20productivity%20among%20Swedish%20wood%20manufacturing%20SMEs,https://api.unpaywall.org/v2/10.1111%2Ftwec.13639
221,Examining the Impact of Internationalization and Competitive Advantages on Enterprise Performance in Taiwan's Computer Numerical Control Machine Industry,2023,10.3390/su152115652,https://doi.org/10.3390/su152115652,https://scholar.google.com/scholar?q=Examining%20the%20Impact%20of%20Internationalization%20and%20Competitive%20Advantages%20on%20Enterprise%20Performance%20in%20Taiwan%27s%20Computer%20Numerical%20Control%20Machine%20Industry,https://openalex.org/works?search=Examining%20the%20Impact%20of%20Internationalization%20and%20Competitive%20Advantages%20on%20Enterprise%20Performance%20in%20Taiwan%27s%20Computer%20Numerical%20Control%20Machine%20Industry,https://api.unpaywall.org/v2/10.3390%2Fsu152115652
240,"Selection, learning, and productivity at the firm level: Evidence from Canadian outward FDI",2021,10.1057/s41267-020-00343-9,https://doi.org/10.1057/s41267-020-00343-9,https://scholar.google.com/scholar?q=Selection%2C%20learning%2C%20and%20productivity%20at%20the%20firm%20level%3A%20Evidence%20from%20Canadian%20outward%20FDI,https://openalex.org/works?search=Selection%2C%20learning%2C%20and%20productivity%20at%20the%20firm%20level%3A%20Evidence%20from%20Canadian%20outward%20FDI,https://api.unpaywall.org/v2/10.1057%2Fs41267-020-00343-9
242,"Using the SHAPLEY value approach to variance decomposition in strategy research: Diversification, internationalization, and corporate group effects on affiliate profitability",2021,10.1002/smj.3236,https://doi.org/10.1002/smj.3236,https://scholar.google.com/scholar?q=Using%20the%20SHAPLEY%20value%20approach%20to%20variance%20decomposition%20in%20strategy%20research%3A%20Diversification%2C%20internationalization%2C%20and%20corporate%20group%20effects%20on%20affiliate%20profitability,https://openalex.org/works?search=Using%20the%20SHAPLEY%20value%20approach%20to%20variance%20decomposition%20in%20strategy%20research%3A%20Diversification%2C%20internationalization%2C%20and%20corporate%20group%20effects%20on%20affiliate%20profitability,https://api.unpaywall.org/v2/10.1002%2Fsmj.3236
246,"The impact of knowledge management on the internationalization, organizational ambidexterity and performance of Spanish hotel chains",2021,10.1108/ijchm-10-2020-1141,https://doi.org/10.1108/ijchm-10-2020-1141,https://scholar.google.com/scholar?q=The%20impact%20of%20knowledge%20management%20on%20the%20internationalization%2C%20organizational%20ambidexterity%20and%20performance%20of%20Spanish%20hotel%20chains,https://openalex.org/works?search=The%20impact%20of%20knowledge%20management%20on%20the%20internationalization%2C%20organizational%20ambidexterity%20and%20performance%20of%20Spanish%20hotel%20chains,https://api.unpaywall.org/v2/10.1108%2Fijchm-10-2020-1141
265,Firm-specific assets and the internationalization performance relationship in the US movie studio industry,2019,10.1016/j.ibusrev.2019.03.003,https://doi.org/10.1016/j.ibusrev.2019.03.003,https://scholar.google.com/scholar?q=Firm-specific%20assets%20and%20the%20internationalization%20performance%20relationship%20in%20the%20US%20movie%20studio%20industry,https://openalex.org/works?search=Firm-specific%20assets%20and%20the%20internationalization%20performance%20relationship%20in%20the%20US%20movie%20studio%20industry,https://api.unpaywall.org/v2/10.1016%2Fj.ibusrev.2019.03.003
270,Internationalization and Performance of SMEs in Masan Free Trade Zone (Korea): The Direct and Moderating Effects of Firm Size,2019,10.35611/jkt.2019.23.4.30,https://doi.org/10.35611/jkt.2019.23.4.30,https://scholar.google.com/scholar?q=Internationalization%20and%20Performance%20of%20SMEs%20in%20Masan%20Free%20Trade%20Zone%20%28Korea%29%3A%20The%20Direct%20and%20Moderating%20Effects%20of%20Firm%20Size,https://openalex.org/works?search=Internationalization%20and%20Performance%20of%20SMEs%20in%20Masan%20Free%20Trade%20Zone%20%28Korea%29%3A%20The%20Direct%20and%20Moderating%20Effects%20of%20Firm%20Size,https://api.unpaywall.org/v2/10.35611%2Fjkt.2019.23.4.30
277,"The impact of technology capability, human resources, internationalization, market resources, and customer satisfaction on annual sales growth rates of Korean software firms",2018,10.1007/s10799-018-0287-2,https://doi.org/10.1007/s10799-018-0287-2,https://scholar.google.com/scholar?q=The%20impact%20of%20technology%20capability%2C%20human%20resources%2C%20internationalization%2C%20market%20resources%2C%20and%20customer%20satisfaction%20on%20annual%20sales%20growth%20rates%20of%20Korean%20software%20firms,https://openalex.org/works?search=The%20impact%20of%20technology%20capability%2C%20human%20resources%2C%20internationalization%2C%20market%20resources%2C%20and%20customer%20satisfaction%20on%20annual%20sales%20growth%20rates%20of%20Korean%20software%20firms,https://api.unpaywall.org/v2/10.1007%2Fs10799-018-0287-2
279,A combined focused industry and company size investigation of the internationalization-performance relationship: The case of small and medium-sized enterprises (SMEs) within the Swedish wood manufacturing industry,2018,10.1016/j.forpol.2018.09.013,https://doi.org/10.1016/j.forpol.2018.09.013,https://scholar.google.com/scholar?q=A%20combined%20focused%20industry%20and%20company%20size%20investigation%20of%20the%20internationalization-performance%20relationship%3A%20The%20case%20of%20small%20and%20medium-sized%20enterprises%20%28SMEs%29%20within%20the%20Swedish%20wood%20manufacturing%20industry,https://openalex.org/works?search=A%20combined%20focused%20industry%20and%20company%20size%20investigation%20of%20the%20internationalization-performance%20relationship%3A%20The%20case%20of%20small%20and%20medium-sized%20enterprises%20%28SMEs%29%20within%20the%20Swedish%20wood%20manufacturing%20industry,https://api.unpaywall.org/v2/10.1016%2Fj.forpol.2018.09.013
281,"Internationalisation, innovation and productivity in services: evidence from Germany, Ireland and the United Kingdom",2018,10.1007/s10290-018-0313-9,https://doi.org/10.1007/s10290-018-0313-9,https://scholar.google.com/scholar?q=Internationalisation%2C%20innovation%20and%20productivity%20in%20services%3A%20evidence%20from%20Germany%2C%20Ireland%20and%20the%20United%20Kingdom,https://openalex.org/works?search=Internationalisation%2C%20innovation%20and%20productivity%20in%20services%3A%20evidence%20from%20Germany%2C%20Ireland%20and%20the%20United%20Kingdom,https://api.unpaywall.org/v2/10.1007%2Fs10290-018-0313-9
282,Dimensional effects of Korean SME's entrepreneurial orientation on internationalization and performance: the mediating role of marketing capability,2018,10.1007/s11365-017-0457-4,https://doi.org/10.1007/s11365-017-0457-4,https://scholar.google.com/scholar?q=Dimensional%20effects%20of%20Korean%20SME%27s%20entrepreneurial%20orientation%20on%20internationalization%20and%20performance%3A%20the%20mediating%20role%20of%20marketing%20capability,https://openalex.org/works?search=Dimensional%20effects%20of%20Korean%20SME%27s%20entrepreneurial%20orientation%20on%20internationalization%20and%20performance%3A%20the%20mediating%20role%20of%20marketing%20capability,https://api.unpaywall.org/v2/10.1007%2Fs11365-017-0457-4
283,"The internationalisation of Spanish family firms through business groups: Factors affecting the profitability, and the moderating effect of the family nature of the Spanish business",2018,10.1016/j.rcsar.2017.09.002,https://doi.org/10.1016/j.rcsar.2017.09.002,https://scholar.google.com/scholar?q=The%20internationalisation%20of%20Spanish%20family%20firms%20through%20business%20groups%3A%20Factors%20affecting%20the%20profitability%2C%20and%20the%20moderating%20effect%20of%20the%20family%20nature%20of%20the%20Spanish%20business,https://openalex.org/works?search=The%20internationalisation%20of%20Spanish%20family%20firms%20through%20business%20groups%3A%20Factors%20affecting%20the%20profitability%2C%20and%20the%20moderating%20effect%20of%20the%20family%20nature%20of%20the%20Spanish%20business,https://api.unpaywall.org/v2/10.1016%2Fj.rcsar.2017.09.002
293,"Firm internationalization, business group diversification and firm performance: The case of Latin American firms",2017,10.1016/j.jbusres.2016.11.006,https://doi.org/10.1016/j.jbusres.2016.11.006,https://scholar.google.com/scholar?q=Firm%20internationalization%2C%20business%20group%20diversification%20and%20firm%20performance%3A%20The%20case%20of%20Latin%20American%20firms,https://openalex.org/works?search=Firm%20internationalization%2C%20business%20group%20diversification%20and%20firm%20performance%3A%20The%20case%20of%20Latin%20American%20firms,https://api.unpaywall.org/v2/10.1016%2Fj.jbusres.2016.11.006
298,The inverted-U relationship between the degree of internationalization and the performance: The case of Spanish hotel chains,2016,10.1016/j.tmp.2015.12.016,https://doi.org/10.1016/j.tmp.2015.12.016,https://scholar.google.com/scholar?q=The%20inverted-U%20relationship%20between%20the%20degree%20of%20internationalization%20and%20the%20performance%3A%20The%20case%20of%20Spanish%20hotel%20chains,https://openalex.org/works?search=The%20inverted-U%20relationship%20between%20the%20degree%20of%20internationalization%20and%20the%20performance%3A%20The%20case%20of%20Spanish%20hotel%20chains,https://api.unpaywall.org/v2/10.1016%2Fj.tmp.2015.12.016
302,The negative synergistic effect of internationalization and corporate social responsibility on US restaurant firms' value performance,2016,10.1108/ijchm-07-2014-0361,https://doi.org/10.1108/ijchm-07-2014-0361,https://scholar.google.com/scholar?q=The%20negative%20synergistic%20effect%20of%20internationalization%20and%20corporate%20social%20responsibility%20on%20US%20restaurant%20firms%27%20value%20performance,https://openalex.org/works?search=The%20negative%20synergistic%20effect%20of%20internationalization%20and%20corporate%20social%20responsibility%20on%20US%20restaurant%20firms%27%20value%20performance,https://api.unpaywall.org/v2/10.1108%2Fijchm-07-2014-0361
328,Productivity Heterogeneity and Internationalization: Evidence from Japanese Firms,2012,10.1177/097639961200300103,https://doi.org/10.1177/097639961200300103,https://scholar.google.com/scholar?q=Productivity%20Heterogeneity%20and%20Internationalization%3A%20Evidence%20from%20Japanese%20Firms,https://openalex.org/works?search=Productivity%20Heterogeneity%20and%20Internationalization%3A%20Evidence%20from%20Japanese%20Firms,https://api.unpaywall.org/v2/10.1177%2F097639961200300103
329,"Presuccession Performance, CEO Succession, Top Management Team, and Change in a Firm's Internationalization: The Moderating Effect of CEO/Chairperson Dissimilarity",2012,10.1002/cjas.196,https://doi.org/10.1002/cjas.196,https://scholar.google.com/scholar?q=Presuccession%20Performance%2C%20CEO%20Succession%2C%20Top%20Management%20Team%2C%20and%20Change%20in%20a%20Firm%27s%20Internationalization%3A%20The%20Moderating%20Effect%20of%20CEO/Chairperson%20Dissimilarity,https://openalex.org/works?search=Presuccession%20Performance%2C%20CEO%20Succession%2C%20Top%20Management%20Team%2C%20and%20Change%20in%20a%20Firm%27s%20Internationalization%3A%20The%20Moderating%20Effect%20of%20CEO/Chairperson%20Dissimilarity,https://api.unpaywall.org/v2/10.1002%2Fcjas.196
333,"Learning by exporting and high-tech capital deepening in Singapore manufacturing industries, 1974-2006",2012,10.1080/00036846.2011.566184,https://doi.org/10.1080/00036846.2011.566184,https://scholar.google.com/scholar?q=Learning%20by%20exporting%20and%20high-tech%20capital%20deepening%20in%20Singapore%20manufacturing%20industries%2C%201974-2006,https://openalex.org/works?search=Learning%20by%20exporting%20and%20high-tech%20capital%20deepening%20in%20Singapore%20manufacturing%20industries%2C%201974-2006,https://api.unpaywall.org/v2/10.1080%2F00036846.2011.566184
336,"Ethnic ties, location choice, and firm performance in foreign direct investment: A study of Taiwanese business groups FDI in China",2011,10.1016/j.ibusrev.2011.02.012,https://doi.org/10.1016/j.ibusrev.2011.02.012,https://scholar.google.com/scholar?q=Ethnic%20ties%2C%20location%20choice%2C%20and%20firm%20performance%20in%20foreign%20direct%20investment%3A%20A%20study%20of%20Taiwanese%20business%20groups%20FDI%20in%20China,https://openalex.org/works?search=Ethnic%20ties%2C%20location%20choice%2C%20and%20firm%20performance%20in%20foreign%20direct%20investment%3A%20A%20study%20of%20Taiwanese%20business%20groups%20FDI%20in%20China,https://api.unpaywall.org/v2/10.1016%2Fj.ibusrev.2011.02.012
348,"Internationalisation, innovation and productivity: How do firms differ in Italy?",2007,10.1111/j.1467-9701.2007.00875.x,https://doi.org/10.1111/j.1467-9701.2007.00875.x,https://scholar.google.com/scholar?q=Internationalisation%2C%20innovation%20and%20productivity%3A%20How%20do%20firms%20differ%20in%20Italy%3F,https://openalex.org/works?search=Internationalisation%2C%20innovation%20and%20productivity%3A%20How%20do%20firms%20differ%20in%20Italy%3F,https://api.unpaywall.org/v2/10.1111%2Fj.1467-9701.2007.00875.x
350,The impact of internationalisation and proprietary assets on firm performance: an empirical analysis of Taiwanese high-tech firms,2005,10.1504/ijtm.2005.006007,https://doi.org/10.1504/ijtm.2005.006007,https://scholar.google.com/scholar?q=The%20impact%20of%20internationalisation%20and%20proprietary%20assets%20on%20firm%20performance%3A%20an%20empirical%20analysis%20of%20Taiwanese%20high-tech%20firms,https://openalex.org/works?search=The%20impact%20of%20internationalisation%20and%20proprietary%20assets%20on%20firm%20performance%3A%20an%20empirical%20analysis%20of%20Taiwanese%20high-tech%20firms,https://api.unpaywall.org/v2/10.1504%2Fijtm.2005.006007
351,The degree of internationalization and the financial performance of European mobile network operators,2005,10.1016/j.telpol.2005.06.003,https://doi.org/10.1016/j.telpol.2005.06.003,https://scholar.google.com/scholar?q=The%20degree%20of%20internationalization%20and%20the%20financial%20performance%20of%20European%20mobile%20network%20operators,https://openalex.org/works?search=The%20degree%20of%20internationalization%20and%20the%20financial%20performance%20of%20European%20mobile%20network%20operators,https://api.unpaywall.org/v2/10.1016%2Fj.telpol.2005.06.003
470,Intellectual capital and firm efficiency of US multinational software firms,2022,10.1108/jic-02-2021-0041,https://doi.org/10.1108/jic-02-2021-0041,https://scholar.google.com/scholar?q=Intellectual%20capital%20and%20firm%20efficiency%20of%20US%20multinational%20software%20firms,https://openalex.org/works?search=Intellectual%20capital%20and%20firm%20efficiency%20of%20US%20multinational%20software%20firms,https://api.unpaywall.org/v2/10.1108%2Fjic-02-2021-0041
473,Exploring nonlinear linkage between profitability and leverage: US multinational versus domestic corporations,2021,10.1111/jifm.12134,https://doi.org/10.1111/jifm.12134,https://scholar.google.com/scholar?q=Exploring%20nonlinear%20linkage%20between%20profitability%20and%20leverage%3A%20US%20multinational%20versus%20domestic%20corporations,https://openalex.org/works?search=Exploring%20nonlinear%20linkage%20between%20profitability%20and%20leverage%3A%20US%20multinational%20versus%20domestic%20corporations,https://api.unpaywall.org/v2/10.1111%2Fjifm.12134
481,"Foreign currency borrowing, exports and firm performance: evidence from a currency crisis",2018,10.1080/1351847x.2017.1421246,https://doi.org/10.1080/1351847x.2017.1421246,https://scholar.google.com/scholar?q=Foreign%20currency%20borrowing%2C%20exports%20and%20firm%20performance%3A%20evidence%20from%20a%20currency%20crisis,https://openalex.org/works?search=Foreign%20currency%20borrowing%2C%20exports%20and%20firm%20performance%3A%20evidence%20from%20a%20currency%20crisis,https://api.unpaywall.org/v2/10.1080%2F1351847x.2017.1421246
486,Effects of Location Diversification and Corporate Governance on Multinational Enterprises' Financial Performance and Risk-taking: Evidence from Taiwanese Enterprises,2015,10.1111/cwe.12128,https://doi.org/10.1111/cwe.12128,https://scholar.google.com/scholar?q=Effects%20of%20Location%20Diversification%20and%20Corporate%20Governance%20on%20Multinational%20Enterprises%27%20Financial%20Performance%20and%20Risk-taking%3A%20Evidence%20from%20Taiwanese%20Enterprises,https://openalex.org/works?search=Effects%20of%20Location%20Diversification%20and%20Corporate%20Governance%20on%20Multinational%20Enterprises%27%20Financial%20Performance%20and%20Risk-taking%3A%20Evidence%20from%20Taiwanese%20Enterprises,https://api.unpaywall.org/v2/10.1111%2Fcwe.12128
487,"Testing the Regional Performance of Multinational Enterprises in the Retail Sector: The Moderating Effects of Timing, Speed and Experience",2014,10.1111/1467-8551.12013,https://doi.org/10.1111/1467-8551.12013,https://scholar.google.com/scholar?q=Testing%20the%20Regional%20Performance%20of%20Multinational%20Enterprises%20in%20the%20Retail%20Sector%3A%20The%20Moderating%20Effects%20of%20Timing%2C%20Speed%20and%20Experience,https://openalex.org/works?search=Testing%20the%20Regional%20Performance%20of%20Multinational%20Enterprises%20in%20the%20Retail%20Sector%3A%20The%20Moderating%20Effects%20of%20Timing%2C%20Speed%20and%20Experience,https://api.unpaywall.org/v2/10.1111%2F1467-8551.12013
491,"The Effects of Offshoring to China: Reallocation, Employment and Productivity in Taiwan",2009,10.1080/13571510802638916,https://doi.org/10.1080/13571510802638916,https://scholar.google.com/scholar?q=The%20Effects%20of%20Offshoring%20to%20China%3A%20Reallocation%2C%20Employment%20and%20Productivity%20in%20Taiwan,https://openalex.org/works?search=The%20Effects%20of%20Offshoring%20to%20China%3A%20Reallocation%2C%20Employment%20and%20Productivity%20in%20Taiwan,https://api.unpaywall.org/v2/10.1080%2F13571510802638916
493,Exporting and productivity in business services: Evidence from the United States,2009,10.1016/j.ibusrev.2009.08.002,https://doi.org/10.1016/j.ibusrev.2009.08.002,https://scholar.google.com/scholar?q=Exporting%20and%20productivity%20in%20business%20services%3A%20Evidence%20from%20the%20United%20States,https://openalex.org/works?search=Exporting%20and%20productivity%20in%20business%20services%3A%20Evidence%20from%20the%20United%20States,https://api.unpaywall.org/v2/10.1016%2Fj.ibusrev.2009.08.002
494,Impact of brand recognition and brand reputation on firm performance: US-based multinational restaurant companies' perspective,2009,10.1016/j.ijhm.2009.04.002,https://doi.org/10.1016/j.ijhm.2009.04.002,https://scholar.google.com/scholar?q=Impact%20of%20brand%20recognition%20and%20brand%20reputation%20on%20firm%20performance%3A%20US-based%20multinational%20restaurant%20companies%27%20perspective,https://openalex.org/works?search=Impact%20of%20brand%20recognition%20and%20brand%20reputation%20on%20firm%20performance%3A%20US-based%20multinational%20restaurant%20companies%27%20perspective,https://api.unpaywall.org/v2/10.1016%2Fj.ijhm.2009.04.002
