priority_rank,seq,year,journal,title,doi,doi_link,google_scholar,icrv,dpl,fp_type,country_guess,pdf_status,source_url_or_pdf_path,pdf_filename,extraction_note,sample_size_n,converted_r,conversion_formula,reported_coefficient,t_value,p_value,effect_direction,model_type,study_period_start,study_period_end,notes_for_extractor,ready_for_r
1450,1550,2021,REVIEW OF WORLD ECONOMICS,Global value chains and technology transfer: new evidence from developing countries,10.1007/s10290-020-00398-8,https://doi.org/10.1007/s10290-020-00398-8,https://scholar.google.com/scholar?q=Global%20value%20chains%20and%20technology%20transfer%3A%20new%20evidence%20from%20developing%20countries,0,3,composite,,LOCAL_PDF,https://link.springer.com/content/pdf/10.1007/s10290-020-00398-8.pdf,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:multi,0
1454,1554,2020,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,The S-Shaped Relationship Between internationalization and Performance: Empirical Evidence from Laos,10.13106/jafeb.2020.vol7.no11.357,https://doi.org/10.13106/jafeb.2020.vol7.no11.357,https://scholar.google.com/scholar?q=The%20S-Shaped%20Relationship%20Between%20internationalization%20and%20Performance%3A%20Empirical%20Evidence%20from%20Laos,6,3,composite,,LOCAL_PDF,http://koreascience.or.kr:80/article/JAKO202032462596978.pdf,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:wos,0
1504,1604,2021,ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,"International diversification, ownership structure and performance in an emerging market: evidence from Chile",10.1080/1331677x.2020.1820359,https://doi.org/10.1080/1331677x.2020.1820359,https://scholar.google.com/scholar?q=International%20diversification%2C%20ownership%20structure%20and%20performance%20in%20an%20emerging%20market%3A%20evidence%20from%20Chile,0,3,composite,,LOCAL_PDF,https://www.tandfonline.com/doi/pdf/10.1080/1331677X.2020.1820359?needAccess=true,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:wos,0
1510,1610,2021,JOURNAL OF ASIAN ECONOMICS,Outward FDI and efficiency in within-firm resource allocation-Evidence from firm-level data of China,10.1016/j.asieco.2021.101298,https://doi.org/10.1016/j.asieco.2021.101298,https://scholar.google.com/scholar?q=Outward%20FDI%20and%20efficiency%20in%20within-firm%20resource%20allocation-Evidence%20from%20firm-level%20data%20of%20China,2,3,productivity,,LOCAL_PDF,https://kar.kent.ac.uk/88610/9/Outward%20FDI%20and%20Efficiency%20in%20Within-firm%20Resource%20Allocation%20%E2%80%93Evidence%20from%20the%20Firm%20Level%20Data%20of%20China%28updated%20version%29_SG_130221.pdf,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:wos,0
1535,1635,2021,MATHEMATICAL PROBLEMS IN ENGINEERING,The Relationship between Extent of Internationalization and Firm Performance (Taiwan 1992-2017),10.1155/2021/5528972,https://doi.org/10.1155/2021/5528972,https://scholar.google.com/scholar?q=The%20Relationship%20between%20Extent%20of%20Internationalization%20and%20Firm%20Performance%20%28Taiwan%201992-2017%29,1,3,composite,,LOCAL_PDF,https://downloads.hindawi.com/journals/mpe/2021/5528972.pdf,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:multi,0
1544,1644,2021,WORLD ECONOMY,International activities and innovation: Evidence from Italy with a special regressor approach,10.1111/twec.13153,https://doi.org/10.1111/twec.13153,https://scholar.google.com/scholar?q=International%20activities%20and%20innovation%3A%20Evidence%20from%20Italy%20with%20a%20special%20regressor%20approach,1,3,composite,,LOCAL_PDF,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/twec.13153,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,panel,,,source:wos,0
1622,1722,2023,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,Markups and export behavior: Firm-level evidence from the French food processing industry,10.1111/ajae.12292,https://doi.org/10.1111/ajae.12292,https://scholar.google.com/scholar?q=Markups%20and%20export%20behavior%3A%20Firm-level%20evidence%20from%20the%20French%20food%20processing%20industry,1,3,,,LOCAL_PDF,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ajae.12292,,NEED_R | NEED_N | NEED_FP | AUTO_EXTRACT_READY,,,,,,,,,,,source:multi,0
1624,1724,2021,CENTRAL EUROPEAN MANAGEMENT JOURNAL,Does Psychic Distance Still Matter? Empirical Evidence from Poland,10.7206/cemj.2658-0845.59,https://doi.org/10.7206/cemj.2658-0845.59,https://scholar.google.com/scholar?q=Does%20Psychic%20Distance%20Still%20Matter%3F%20Empirical%20Evidence%20from%20Poland,2,3,composite,,LOCAL_PDF,https://journals.kozminski.edu.pl/system/files/Hauke%20Lopes_0.pdf,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:multi,0
1665,1765,2022,SUSTAINABILITY,CSR and Long-Term Corporate Performance: The Moderating Effects of Government Subsidies and Peer Firm's CSR,10.3390/su14095543,https://doi.org/10.3390/su14095543,https://scholar.google.com/scholar?q=CSR%20and%20Long-Term%20Corporate%20Performance%3A%20The%20Moderating%20Effects%20of%20Government%20Subsidies%20and%20Peer%20Firm%27s%20CSR,2,3,composite,,LOCAL_PDF,https://www.mdpi.com/2071-1050/14/9/5543/pdf?version=1651745957,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:wos,0
1667,1767,2024,EUROMED JOURNAL OF BUSINESS,Do domestic market characteristics influence firms' export intensity?,10.1108/emjb-09-2021-0129,https://doi.org/10.1108/emjb-09-2021-0129,https://scholar.google.com/scholar?q=Do%20domestic%20market%20characteristics%20influence%20firms%27%20export%20intensity%3F,0,3,composite,,LOCAL_PDF,https://www.emerald.com/insight/content/doi/10.1108/EMJB-09-2021-0129/full/pdf?title=do-domestic-market-characteristics-influence-firms-export-intensity,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:multi,0
1742,1842,2022,SUSTAINABILITY,Does Corporate ESG Performance Improve Export Intensity? Evidence from Chinese Listed Firms,10.3390/su142012981,https://doi.org/10.3390/su142012981,https://scholar.google.com/scholar?q=Does%20Corporate%20ESG%20Performance%20Improve%20Export%20Intensity%3F%20Evidence%20from%20Chinese%20Listed%20Firms,2,3,composite,,LOCAL_PDF,https://www.mdpi.com/2071-1050/14/20/12981/pdf?version=1665648089,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:wos,0
1792,1892,2023,ECONOMIES,Slack Resources and Export Intensity: New Empirical Evidence from Vietnam,10.3390/economies11020068,https://doi.org/10.3390/economies11020068,https://scholar.google.com/scholar?q=Slack%20Resources%20and%20Export%20Intensity%3A%20New%20Empirical%20Evidence%20from%20Vietnam,3,3,,,LOCAL_PDF,https://www.mdpi.com/2227-7099/11/2/68/pdf?version=1676599854,,NEED_R | NEED_N | NEED_FP | AUTO_EXTRACT_READY,,,,,,,,panel,,,source:wos,0
1794,1894,2023,SUSTAINABILITY,How Organizational Resources and Managerial Features Affect Business Performance: An Analysis in the Greek Wine Industry,10.3390/su15043522,https://doi.org/10.3390/su15043522,https://scholar.google.com/scholar?q=How%20Organizational%20Resources%20and%20Managerial%20Features%20Affect%20Business%20Performance%3A%20An%20Analysis%20in%20the%20Greek%20Wine%20Industry,1,3,composite,,LOCAL_PDF,https://www.mdpi.com/2071-1050/15/4/3522/pdf?version=1676382979,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:wos,0
1821,1921,2024,JOURNAL OF THE KNOWLEDGE ECONOMY,On the Direct and Indirect Effects of ICT on SMEs Export Performance: Evidence from Colombian Manufacturing,10.1007/s13132-023-01378-7,https://doi.org/10.1007/s13132-023-01378-7,https://scholar.google.com/scholar?q=On%20the%20Direct%20and%20Indirect%20Effects%20of%20ICT%20on%20SMEs%20Export%20Performance%3A%20Evidence%20from%20Colombian%20Manufacturing,2,3,composite,,LOCAL_PDF,https://link.springer.com/content/pdf/10.1007/s13132-023-01378-7.pdf,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:wos,0
1836,1936,2023,HELIYON,Do National Export Promotion Programs in Indonesia support export competitiveness?,10.1016/j.heliyon.2023.e16918,https://doi.org/10.1016/j.heliyon.2023.e16918,https://scholar.google.com/scholar?q=Do%20National%20Export%20Promotion%20Programs%20in%20Indonesia%20support%20export%20competitiveness%3F,3,3,,,LOCAL_PDF,http://www.cell.com/article/S2405844023041257/pdf,,NEED_R | NEED_N | NEED_FP | AUTO_EXTRACT_READY,,,,,,,,,,,source:wos,0
1920,2020,2024,BUSINESS STRATEGY AND DEVELOPMENT,Does internationalization and board diversity affect family firms&apos; sustainable performance? Empirical evidence from an emerging economy,10.1002/bsd2.365,https://doi.org/10.1002/bsd2.365,https://scholar.google.com/scholar?q=Does%20internationalization%20and%20board%20diversity%20affect%20family%20firms%26apos%3B%20sustainable%20performance%3F%20Empirical%20evidence%20from,0,3,composite,,LOCAL_PDF,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bsd2.365,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:multi,0
1941,2041,2024,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,"Foreign Ownership, Board of Directors, and Environmental Commitment in European International New Ventures",10.1002/tie.22396,https://doi.org/10.1002/tie.22396,https://scholar.google.com/scholar?q=Foreign%20Ownership%2C%20Board%20of%20Directors%2C%20and%20Environmental%20Commitment%20in%20European%20International%20New%20Ventures,0,3,composite,,LOCAL_PDF,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.22396,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,sem,,,source:wos,0
2011,2111,2025,GADJAH MADA INTERNATIONAL JOURNAL OF BUSINESS,Learning Orientation and Export Performance in Nigeria: The Moderating Effect of Export Knowledge,10.22146/gamaijb.74896,https://doi.org/10.22146/gamaijb.74896,https://scholar.google.com/scholar?q=Learning%20Orientation%20and%20Export%20Performance%20in%20Nigeria%3A%20The%20Moderating%20Effect%20of%20Export%20Knowledge,3,3,composite,,LOCAL_PDF,https://jurnal.ugm.ac.id/gamaijb/article/download/74896/40854,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:wos,0
2049,2149,2026,INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,"Corporate ESG Performance, Ownership Structure and Export Intensity: Evidence From Chinese Listed Companies",10.1002/ijfe.3167,https://doi.org/10.1002/ijfe.3167,https://scholar.google.com/scholar?q=Corporate%20ESG%20Performance%2C%20Ownership%20Structure%20and%20Export%20Intensity%3A%20Evidence%20From%20Chinese%20Listed%20Companies,2,3,composite,,LOCAL_PDF,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijfe.3167,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:wos,0
2053,2153,2025,JOURNAL OF WINE ECONOMICS,"Wine, markups, and export behavior: Evidence from Hungary",10.1017/jwe.2025.7,https://doi.org/10.1017/jwe.2025.7,https://scholar.google.com/scholar?q=Wine%2C%20markups%2C%20and%20export%20behavior%3A%20Evidence%20from%20Hungary,2,3,composite,,LOCAL_PDF,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CA15B1013638C98628E34582E1E55241/S1931436125000070a.pdf/div-class-title-wine-markups-and-export-behavior-evidence-from-hungary-div.pdf,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:multi,0
2182,2282,2026,Journal of the Knowledge Economy,"Digital Transformation, Internationalization and Productivity in Small and Medium-Sized Enterprises: Unravelling Effects from Spain",10.1007/s13132-026-03199-w,https://doi.org/10.1007/s13132-026-03199-w,https://scholar.google.com/scholar?q=Digital%20Transformation%2C%20Internationalization%20and%20Productivity%20in%20Small%20and%20Medium-Sized%20Enterprises%3A%20Unravelling%20Effects,1,3,,,LOCAL_PDF,https://link.springer.com/content/pdf/10.1007/s13132-026-03199-w.pdf,,NEED_R | NEED_N | NEED_FP | AUTO_EXTRACT_READY,,,,,,,,,,,source:scopus,0
2189,2289,2025,Revista De Metodos Cuantitativos Para La Economia Y La Empresa,Internationalization and financial performance in Colombian firms,10.46661/rev.metodoscuant.econ.empresa.10640,https://doi.org/10.46661/rev.metodoscuant.econ.empresa.10640,https://scholar.google.com/scholar?q=Internationalization%20and%20financial%20performance%20in%20Colombian%20firms,2,3,composite,,LOCAL_PDF,https://www.upo.es/revistas/index.php/RevMetCuant/article/download/10640/10051,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:scopus,0
2190,2290,2025,Journal of Women S Entrepreneurship and Education,Gender Perspectives on SME International Trade and Revenue in the Digital Era: Evidence from Serbia,10.28934/jwee25.12.pp198-216,https://doi.org/10.28934/jwee25.12.pp198-216,https://scholar.google.com/scholar?q=Gender%20Perspectives%20on%20SME%20International%20Trade%20and%20Revenue%20in%20the%20Digital%20Era%3A%20Evidence%20from%20Serbia,2,3,composite,,LOCAL_PDF,https://library.ien.bg.ac.rs/index.php/jwee/article/download/2007/1543,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:scopus,0
2192,2292,2025,International Journal of Economics and Management,The Impact of Digital Technology Adoption and Internationalization on Manufacturing Firms’ Performance in China,10.47836/ijeam.19.2.03,https://doi.org/10.47836/ijeam.19.2.03,https://scholar.google.com/scholar?q=The%20Impact%20of%20Digital%20Technology%20Adoption%20and%20Internationalization%20on%20Manufacturing%20Firms%E2%80%99%20Performance%20in%20China,2,3,composite,,LOCAL_PDF,https://doi.org/10.47836/ijeam.19.2.03,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:scopus,0
2207,2307,2024,Journal of International Studies,"ESG disclosure, firm internationalization, and firm financial performance: Evidence from Asia-Pacific",10.14254/2071-8330.2024/17-2/13,https://doi.org/10.14254/2071-8330.2024/17-2/13,https://scholar.google.com/scholar?q=ESG%20disclosure%2C%20firm%20internationalization%2C%20and%20firm%20financial%20performance%3A%20Evidence%20from%20Asia-Pacific,0,3,composite,,LOCAL_PDF,https://jois.eu/files/13_JIS 1438_Hussain et al.pdf,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:scopus,0
2240,2340,2022,Hightech and Innovation Journal,The Importance of Interfirm Networks in Enhancing Innovation Capability and Exporting in High-Tech Industry,10.28991/hij-sp2022-03-05,https://doi.org/10.28991/hij-sp2022-03-05,https://scholar.google.com/scholar?q=The%20Importance%20of%20Interfirm%20Networks%20in%20Enhancing%20Innovation%20Capability%20and%20Exporting%20in%20High-Tech%20Industry,3,3,composite,,LOCAL_PDF,https://hightechjournal.org/index.php/HIJ/article/download/310/87,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,sem,,,source:scopus,0
2263,2363,2020,Accounting,The moderating effects of managers’ experience and gender on internationalization and firm performance of manufacturing enterprises in Turkey,10.5267/j.ac.2020.9.006,https://doi.org/10.5267/j.ac.2020.9.006,https://scholar.google.com/scholar?q=The%20moderating%20effects%20of%20managers%E2%80%99%20experience%20and%20gender%20on%20internationalization%20and%20firm%20performance%20of%20manufacturing%20,2,3,composite,,LOCAL_PDF,https://doi.org/10.5267/j.ac.2020.9.006,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:scopus,0
2278,2378,2019,Society and Economy,"Survival, growth, and performance of Hungarian international new ventures",10.1556/204.2019.41.1.4,https://doi.org/10.1556/204.2019.41.1.4,https://scholar.google.com/scholar?q=Survival%2C%20growth%2C%20and%20performance%20of%20Hungarian%20international%20new%20ventures,2,3,roe,,LOCAL_PDF,https://akjournals.com/downloadpdf/journals/204/41/1/article-p47.pdf,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:scopus,0
2324,2424,2014,Asian Development Review,The Dragon is flying west: Micro-level evidence of Chinese outward direct investment,10.1162/adev_a_00032,https://doi.org/10.1162/adev_a_00032,https://scholar.google.com/scholar?q=The%20Dragon%20is%20flying%20west%3A%20Micro-level%20evidence%20of%20Chinese%20outward%20direct%20investment,2,3,productivity,,LOCAL_PDF,https://www.mitpressjournals.org/doi/pdf/10.1162/ADEV_a_00032,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:scopus,0
2340,2440,2013,Applied Economics,"Location, internationalization and performance of firms in Italy: A multilevel approach",10.1080/00036846.2012.665597,https://doi.org/10.1080/00036846.2012.665597,https://scholar.google.com/scholar?q=Location%2C%20internationalization%20and%20performance%20of%20firms%20in%20Italy%3A%20A%20multilevel%20approach,1,3,composite,,LOCAL_PDF,http://hdl.handle.net/2158/605814,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:scopus,0
150,463,2025,INTERNATIONAL MARKETING REVIEW,Finding the sweet spot: effects of exporting on the relationship between R&D investment and NPD performance,10.1108/imr-02-2024-0039,https://doi.org/10.1108/imr-02-2024-0039,https://scholar.google.com/scholar?q=Finding%20the%20sweet%20spot%3A%20effects%20of%20exporting%20on%20the%20relationship%20between%20R%26D%20investment%20and%20NPD%20performance,,3,,TO_EXTRACT,LOCAL_PDF,https://durham-repository.worktribe.com/file/3318752/1/Accepted%20Journal%20Article,,NEED_R | NEED_N | NEED_ICRV | NEED_FP | AUTO_EXTRACT_READY,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3),,,,,,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO
152,477,2019,JOURNAL OF INTERNATIONAL MARKETING,Do Export Learning Processes Affect Sales Growth in Exporting Activities?,10.1177/1069031x19848425,https://doi.org/10.1177/1069031x19848425,https://scholar.google.com/scholar?q=Do%20Export%20Learning%20Processes%20Affect%20Sales%20Growth%20in%20Exporting%20Activities%3F,,3,sales_growth,TO_EXTRACT,LOCAL_PDF,https://ueaeprints.uea.ac.uk/id/eprint/70585/1/Assadinia_et_al_JIM_2019.pdf,,NEED_R | NEED_N | NEED_ICRV | AUTO_EXTRACT_READY,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3),,,,,,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO
285,462,2025,NATURAL RESOURCES FORUM,"Clean, competitive, and productive? The impact of environment-friendly technologies on exporting and productivity of the manufacturing companies in Belarus",10.1111/1477-8947.12525,https://doi.org/10.1111/1477-8947.12525,https://scholar.google.com/scholar?q=Clean%2C%20competitive%2C%20and%20productive%3F%20The%20impact%20of%20environment-friendly%20technologies%20on%20exporting%20and%20productivity%20of%20the%20manufacturing%20companies%20in%20Belarus,,3,productivity,TO_EXTRACT,LOCAL_PDF,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1477-8947.12525,,NEED_R | NEED_N | NEED_ICRV | AUTO_EXTRACT_READY,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3),,,,,,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO
287,465,2025,SUSTAINABILITY,"Firm-Level Carbon Productivity, Home Country Environmental Performance, and Firm Performance in the Exporting Meat Industry",10.3390/su17125381,https://doi.org/10.3390/su17125381,https://scholar.google.com/scholar?q=Firm-Level%20Carbon%20Productivity%2C%20Home%20Country%20Environmental%20Performance%2C%20and%20Firm%20Performance%20in%20the%20Exporting%20Meat%20Industry,,3,composite,TO_EXTRACT,LOCAL_PDF,https://www.mdpi.com/2071-1050/17/12/5381/pdf?version=1749636253,,NEED_R | NEED_N | NEED_ICRV | AUTO_EXTRACT_READY,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3),,,,,,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO
288,466,2024,INTERNATIONAL JOURNAL OF MANPOWER,Exporting is a team sport: the link between management training and performance in SMEs,10.1108/ijm-03-2023-0150,https://doi.org/10.1108/ijm-03-2023-0150,https://scholar.google.com/scholar?q=Exporting%20is%20a%20team%20sport%3A%20the%20link%20between%20management%20training%20and%20performance%20in%20SMEs,,3,,TO_EXTRACT,LOCAL_PDF,https://strathprints.strath.ac.uk/87757/1/Idris-etal-IJM-2023-Exporting-is-a-team-sport-the-link.pdf,,NEED_R | NEED_N | NEED_ICRV | NEED_FP | AUTO_EXTRACT_READY,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3),,,,,,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO
